Language,ProjectName,CommitHash,List_of_CI_impacted_files,Commit_Message
C,PyTables/PyTables,https://github.com/PyTables/PyTables/commit/71314ac6c5b9617ecf772bb2f1f8e10f83292f16,[.travis.yml],Travis CI: test against python 3.8-dev  Add python 3.8 dev to travis Cleanup .travis.yml: Use xenial for all builds
C,PyTables/PyTables,https://github.com/PyTables/PyTables/commit/378706109bbfc4178b658ca9f840e200d1ac115f,[appveyor.yml],Clean up appveyor config  HDF5 is now in conda default Drop HDF5 1.8 Drop mock depency
C,RfidResearchGroup/proxmark3,https://github.com/RfidResearchGroup/proxmark3/commit/585781ad089d8d64c7b3aa52e18979927c4f541a,[appveyor.yml],Appveyor cleanup
C,RfidResearchGroup/proxmark3,https://github.com/RfidResearchGroup/proxmark3/commit/656f7dd580dc4cc7ca9d0707365670fe14b15222,[appveyor.yml],Appveyor cleanup
C,RfidResearchGroup/proxmark3,https://github.com/RfidResearchGroup/proxmark3/commit/004318a8d857735493a8afe251dacc4bd55c26d9,[appveyor.yml],Cleanup
C,SRombauts/SQLiteCpp,https://github.com/SRombauts/SQLiteCpp/commit/9d4829ab1eb624c91c2e5d3f07697f25af19733c,[.travis.yml;appveyor.yml],Cleanup and improvement to build script   - no googletest on appveyor as cloning this submodule does not wordk
C,SRombauts/SQLiteCpp,https://github.com/SRombauts/SQLiteCpp/commit/b99e8c62e9a8c04c9077eccd65589e1b4e75ecec,[.travis.yml],Cleanup Travis CI configuration
C,SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN/commit/8baead6042bd4310ed63686a1de47f30ea8e0312,[.travis.yml],refactor travis-ci: (#530)  osx does not come with gcc  actually it is clang. so  remove it. move debhelper installation to "apt" plugin (it will affect only linux). add otool (which is ldd equivalent) on osx. split "before_install"  "script" into matrix
C,ThingPulse/esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306/commit/102bb14114f342363addda699cd1a0e5eac58270,[.travis.yml],Clean up display2 init
C,Unidata/netcdf-c,https://github.com/Unidata/netcdf-c/commit/26e4f04a78650c2f84a068418d7bc3391e8a5793,[.travis.yml],Refactoring build matrix.
C,Unidata/netcdf-c,https://github.com/Unidata/netcdf-c/commit/5490405adf72ea2213b680c7e0d0707db66f9d0c,[appveyor.yml],Refactoring.
C,VirusTotal/yara,https://github.com/VirusTotal/yara/commit/cfecd1105394d2697c95911786c947737e477bac,[.travis.yml],Do "make clean" before "make"  Travis-CI tests are failing because of object files generated by previous builds. Let's do a cleanup before each build.
C,XorTroll/Goldleaf,https://github.com/XorTroll/Goldleaf/commit/4dd2d911e12f19d0562532ce141d866842c36a69,[docs/_config.yml],Add case sort again  removed for FS refactor I guess
C,adrienverge/openfortivpn,https://github.com/adrienverge/openfortivpn/commit/ac5c083222008b761943bc9948b00f4c100fd302,[.travis.yml],Refactor Travis CI integration  Up until now  Travis integration has been specified inline in configuration file  which is not optimal.  This commit refactors this integration by splitting out the installation of astyle requirement into separate script that is cache aware. Installation is now also done into separate cache folder that can be also used by other dependencies.
C,aircrack-ng/aircrack-ng,https://github.com/aircrack-ng/aircrack-ng/commit/c33a47f54d055074740c5b7ed3a26994b0af1dba,[appveyor.yml],AppVeyor: Refactored Airpcap.
C,alibaba/GCanvas,https://github.com/alibaba/GCanvas/commit/c2649166cc7ebb3e162d5f174ffa99eb1aff77c2,[.travis.yml],m:refactor mainOffScreen.cpp and travis.yml
C,analogdevicesinc/libiio,https://github.com/analogdevicesinc/libiio/commit/555ade00430883bf4e43925094dd2b57a5b0d3e8,[appveyor.yml],appveyor.yml: Some cleanups  Signed-off-by: Paul Cercueil <paul.cercueil@analog.com>
C,analogdevicesinc/libiio,https://github.com/analogdevicesinc/libiio/commit/fc4961f681ced6ece8c2760602a3e6f6bdfc35e4,[.travis.yml],.travis.yml: unify EXTRA_SSH env var  This has mostly cleanup value. Since it's duplicated everywhere  it may make sense to just move the EXTRA_SSH to a global place  and not duplicate it anymore.  Signed-off-by: Alexandru Ardelean <alexandru.ardelean@analog.com>
C,anholt/libepoxy,https://github.com/anholt/libepoxy/commit/91b4e75c6540d85efc2dc115b7915bae7bfd8bdf,[.travis.yml],Restructure the TravisCI script  The script should only run the tests; the base Docker image pull  as well as the CI image build  should be performed in the preparation stage.
C,apache/mynewt-core,https://github.com/apache/mynewt-core/commit/6455ee75ba04ccfebd9f3fdaa3ebfc6c2f3f95b6,[.travis.yml],Refactor .travis.yml
C,aquynh/capstone,https://github.com/aquynh/capstone/commit/63913ef3f688abad0f70da3a35d906ba9d891b44,[.travis.yml],cleanup travis and use environment variables
C,aquynh/capstone,https://github.com/aquynh/capstone/commit/99e303bdd4925521bf31a6bb47e1f3ed509bbee7,[.travis.yml],Revert "cleanup travis and use environment variables"  This reverts commit 63913ef3f688abad0f70da3a35d906ba9d891b44.
C,aquynh/capstone,https://github.com/aquynh/capstone/commit/20343cc03b014817ddd62844c8671ade5ec7b35a,[.travis.yml],cleanup travis and use environment variables (#1021)  * cleanup travis and use environment variables  * use global to prevent matrix expansion
C,aquynh/capstone,https://github.com/aquynh/capstone/commit/9361378e8543d312ed22285114a9ad5598f41b2b,[.travis.yml],Cleanup build process (#1140)  * Cleanup build process  avoiding bash subshells (which happen in for loops) because they like to selectively inherit environment variables  * address restrictions of osx sip  see https://github.com/nteract/nteract/issues/1523#issuecomment-284027093
C,astropy/astropy,https://github.com/astropy/astropy/commit/53dd843d7388fdc8ccd965ccbf12a8e44e2d35f2,[.travis.yml],clean up travis.yml tab alignment
C,astropy/astropy,https://github.com/astropy/astropy/commit/3825f615bac593eab51335f7fe5a6c08a26d79a7,[.travis.yml],clean up .travis.yml
C,astropy/astropy,https://github.com/astropy/astropy/commit/7f3c7e87ddef4464f2651de5510309ece0d0e429,[.travis.yml],clean up sphinx build so travis will be happy
C,astropy/astropy,https://github.com/astropy/astropy/commit/62ff513c83541eacaf5ca7dc37d7511b222cd055,[.travis.yml],Cleanup of .travis.yml of a left-over Python 3.3 item [skip ci].
C,astropy/astropy,https://github.com/astropy/astropy/commit/154f79d8b62cf3d8447ee97df0afb9e26025db14,[.circleci/config.yml],Fixing cleanup for artifact upload [skip ci]
C,astropy/astropy,https://github.com/astropy/astropy/commit/38d4655cb6271c02ca7a92aa14302af83d8195c4,[.travis.yml],Clean up Travis configuration
C,astropy/astropy,https://github.com/astropy/astropy/commit/d0a439139ad8937ec1ed07e60a08a103cc92f81d,[.circleci/config.yml],Update to testing docs and clean up CircleCI configuration
C,astropy/astropy,https://github.com/astropy/astropy/commit/0603ea338245876d18343c52ded8675fc6f8ede8,[.circleci/config.yml;.travis.yml],Further cleanup to CI configuration and fixed a typo in the docs
C,astropy/astropy,https://github.com/astropy/astropy/commit/8db88bf8e23dce8f05773c195bdf5e7d8f8a35bf,[.travis.yml],Clean up cron settings for Travis
C,axboe/fio,https://github.com/axboe/fio/commit/be90946e4efe2c6666106e376eb51562a926ddd7,[.travis.yml],travis: add 32 bit build  minor updates and cleanups  - Rejig the Travis file so it does a 32 bit Linux build (albeit on a 64   bit system). GlusterFS is only installed on 64 bit Linux because the   32 bit deb tries to pull in psmisc:i386 which conflicts with the   regular (64 bit) psmisc. The clang 32 bit build works fine but only   the gcc 32 bit build is done to reduce the number of builds for now. - Minor reformatting to make it a bit easier to read the shell script   (but behind the scenes it's still all squashed on to one line). - Stop apt from installing/upgrading non-essential packages so as to   reduce build time. - Make OSX build use a newer Xcode.
C,axboe/fio,https://github.com/axboe/fio/commit/5580d200d7ae49cdb4f30913e3ef2d74e431ff60,[appveyor.yml],appveyor: install zlib and minor clean ups  - Install the appropriate mingw64 version of zlib so fio compile finds   and uses it. - Always use Cygwin64. Appveyor always provides a 64 bit environment and   Cygwin64 comes with a 32 bit cross-compiler and 32 bit versions of   libraries. - Reduce the clone depth to 1 since we aren't making use of the git   history and it can be a touch faster.  Signed-off-by: Sitsofe Wheeler <sitsofe@yahoo.com>
C,axboe/fio,https://github.com/axboe/fio/commit/a2b3cb65a9d3dfafbe52da2916c9524a71ad0ac7,[appveyor.yml],appveyor: minor refactoring  clarifications  - Set platform directly to x64 or x86 and use PLATFORM instead of BUILD_ARCH - Set the PATH once (via the install section) because environment variables   persist to later sections - Add a note that shallow cloning means FIO-VERSION-GEN is unable to build a   fancy version number (because it won't find any tags)  Signed-off-by: Sitsofe Wheeler <sitsofe@yahoo.com>
C,axboe/fio,https://github.com/axboe/fio/commit/9f671d87a2153273b2bd0f1be3a63b8f2fd644d9,[.appveyor.yml],.appveyor.yml: Convert to ASCII  Change a single character in a comment from UTF-8 into ASCII.  Fixes: a2b3cb65a9d3 ("appveyor: minor refactoring  clarifications") Signed-off-by: Bart Van Assche <bvanassche@acm.org>
C,axboe/fio,https://github.com/axboe/fio/commit/dc8aed223cfff0a15065b064082b975b749f0b6e,[.appveyor.yml],appveyor: cleanup and add separate install script  - Rename PLATFORM environment variable to ARCHITECTURE to avoid clash   with Appveyor variable   (https://www.appveyor.com/docs/environment-variables/ ) - Introduce support for using MSYS2 - Perform clang builds that also package PDB symbols - Drop PACKAGE_ARCH variable since it can be derived - Switch some lines to just call native binaries directly  Signed-off-by: Sitsofe Wheeler <sitsofe@yahoo.com>
C,betaflight/betaflight,https://github.com/betaflight/betaflight/commit/1433a6e1f87b11b11849ec1b520762535efd3266,[.travis.yml],cleanup  prepare for a pr
C,bperez77/xilinx_axidma,https://github.com/bperez77/xilinx_axidma/commit/2fec4f00a8641f103664e1612517b452774179e4,[.travis.yml],Fixed an issue with the Travis CI file.  The issue was that is was missing a navigation back up to the parent directory  so it was not actually building the driver. Also  some minor cleanup was done.
C,cetic/6lbr,https://github.com/cetic/6lbr/commit/42421825884b5aaa52fbe1331b23bacaaaf347ee,[.travis.yml],Clean up script commands in .travis.yml.  Besides general whitespace and quoting cleanup  commands that test variables were changed from:   [ $B = a ] && command || true to   if [ $B = a ] ; then command ; fi This form correctly returns the exit code of "command".
C,citusdata/citus,https://github.com/citusdata/citus/commit/7bf04a999c51048b3772ea322debf90b020c5f60,[.circleci/config.yml],Refactor circleci config for better readability (#3013)
C,citusdata/cstore_fdw,https://github.com/citusdata/cstore_fdw/commit/f3a56bbaf78b5d77fe543a08f1ed0f1064f717bb,[.travis.yml],Enable uploading coverage during Travis build  Uses [cpp-coveralls][] to upload coverage information to the (free for open source projects) [coveralls.io][]. This requires a few things:    * Setting `enable_coverage` to `yes` to produce `gcno` files   * Installing the coveralls command via `pip`   * Allowing `postgres` to write `gdca` files to our checked-out code   * Allowing our own user to read these files once created   * Uploading the coverage data to coveralls  This is a bit ugly at the moment but hopefully this comment illuminates what's being done. We'll clean up when we have more projects using this service.  [cpp-coveralls]: https://github.com/eddyxu/cpp-coveralls [coveralls.io]: https://coveralls.io/
C,cksystemsteaching/selfie,https://github.com/cksystemsteaching/selfie/commit/046b0a6669e7544c066db4fa28a9a94d9232f5c5,[.travis.yml],Travis cleanup
C,cleanflight/cleanflight,https://github.com/cleanflight/cleanflight/commit/1433a6e1f87b11b11849ec1b520762535efd3266,[.travis.yml],cleanup  prepare for a pr
C,client9/libinjection,https://github.com/client9/libinjection/commit/1a4d1cce68230dfc9b0afc79ea654297158c4154,[.travis.yml],cleanup travis
C,cs50/libcs50,https://github.com/cs50/libcs50/commit/557667feb5e17a2853744285fee5675c07c8b45b,[.travis.yml],remove skip_cleanup
C,cs50/libcs50,https://github.com/cs50/libcs50/commit/cc3453818d91f2d13680ccbaaf63dc595cd16607,[.travis.yml],Revert "remove skip_cleanup"  This reverts commit 557667feb5e17a2853744285fee5675c07c8b45b.
C,curl/curl,https://github.com/curl/curl/commit/2c598cc77822b27eef5ee6c2810ed6da49ff95bf,[.travis.yml],travis: upgrade to bionic  clang-9  improve readability  Changes  partially to reduce build failures from external dependencies:  - Upgrade Ubuntu and drop unnecessary third-party repos.  - Properly clone apt config to ensure retries.  - Upgrade to clang-9 from the standard repos.  - Use Ubuntu 20.04 focal for the libssh build  use of ssh_get_publickey    fails on -Werror=deprecated-declarations in Ubuntu 18.04. Do not use    focal everywhere yet since Travis CI has not documented this option.    In focal  python-impacket (Py2.7) has been removed  leaving only    python3-impacket. Since it is only needed for SMB tests and not SSH     skip it for the libssh job since it might need more work.  - apt: Remove gcc-8 and libstdc++-8-dev  already installed via g++-8.  Non-functional cleanups:  - Simplify test matrix  drop redundant os and compiler keys.  - Deprecation fixes: remove sudo  rename matrix -> jobs.  - Every job has an 'env' key  put this key first in a list item.  Closes #5370
C,davatorium/rofi,https://github.com/davatorium/rofi/commit/50f9683c990c7791d675150f227195b893816755,[.travis.yml],travis.yml: Style cleanup  Signed-off-by: Quentin Glidic <sardemff7+git@sardemff7.net>
C,davatorium/rofi,https://github.com/davatorium/rofi/commit/a1c877e680a5b63cfd7daaf55d244403c92656e1,[.travis.yml],travis: Cleanup  Signed-off-by: Quentin Glidic <sardemff7+git@sardemff7.net>
